CALLSIGN,FREQ,SITENAME,SITELOC,ST,LAT,LON,PWR,STATUS,WFO,COUNTY
WXJ47,162.475,High Hill,High Hill,OH,39.836667,-81.770556,1000,NORMAL,Pittsburgh|PA,Belmont|Carroll|Coshocton|Guernsey|Harrison|Jefferson|Licking|Monroe|Morgan|Muskingum|Noble|Perry|Tuscarawas|Washington|Pleasants|Tyler
WXJ48,162.475,Gurdon,Gurdon,AR,33.907389,-93.113056,1000,NORMAL,Little Rock|AR,Calhoun|Clark|Columbia|Dallas|Hempstead|Hot Spring|Nevada|Ouachita|Pike|Union
WXJ49,162.550,Texarkana,Texarkana,AR,33.448,-94.066833,500,NORMAL,Shreveport|LA,Columbia|Hempstead|Howard|Lafayette|Little River|Miller|Nevada|Pike|Sevier|McCurtain|Bowie|Cass
WXJ50,162.550,Fort Smith,Ft. Chaffee,AR,35.294417,-94.305278,750,NORMAL,Tulsa|OK,Crawford|Franklin|Logan|Scott|Sebastian|Adair|Le Flore|Sequoyah
WXJ51,162.550,Jonesboro,Bono,AR,35.9039,-90.7706,900,NORMAL,Memphis|TN,Clay|Craighead|Crittenden|Cross|Greene|Jackson|Lawrence|Mississippi|Poinsett|Randolph|Woodruff|Dunklin|Pemiscot
WXJ52,162.475,Fayetteville,Winslow,AR,35.814333,-94.028194,1000,NORMAL,Tulsa|OK,Benton|Carroll|Crawford|Franklin|Madison|Sebastian|Washington|Adair|Delaware
WXJ53,162.525,Cleveland,Wauka Mtn.,GA,34.509472,-83.806639,299,NORMAL,Peachtree City|GA,Banks|Barrow|Cherokee|Clarke|Dawson|Forsyth|Franklin|Gwinnett|Habersham|Hall|Hart|Jackson|Lumpkin|Madison|Oconee|Pickens|Stephens|Walton|White
WXJ54,162.400,Star City,Star City,AR,33.954306,-91.878972,900,NORMAL,Little Rock|AR,Arkansas|Bradley|Cleveland|Dallas|Desha|Drew|Jefferson|Lincoln
WXJ55,162.550,Little Rock,Shinall Mtn.,AR,34.799722,-92.499444,1000,NORMAL,Little Rock|AR,Arkansas|Cleburne|Conway|Faulkner|Garland|Grant|Hot Spring|Jefferson|Lonoke|Perry|Pope|Prairie|Pulaski|Saline|Van Buren|White|Yell
WXJ57,162.400,South Bend,Mishawaka,IN,41.616111,-86.192222,1000,NORMAL,Northern Indiana|IN,Elkhart|Kosciusko|La Porte|Marshall|St. Joseph|Starke|Berrien|Cass
