Frequency,Station Call Letters,Station City,Station State/Province,Station Country,Concatenated Station Location,Station Lat,Station Long
1520,HJLQ,Barranquilla,DX,Colombia,"Baranquilla, Colombia",10.997734,-74.791148
1520,XEDF,Mexico City,Estado de México,Mexico,"Mexico City, Mexico",19.4326,-99.1332
1520,XEEH,San Luis Rio Colorado,Sonora,Mexico,"San Luis Rio Colorado, Sonora, Mexico",32.439331,-114.772086
1521,"China Radio Internationsl, Russian Service",Hutubi,DX,China,"Hutubi, China",44.364657,86.779052
1521,SER,Castello,DX,Spain,"Castello, Spain",40.251857,-0.061505
1530,XEUR,Mexico City,Ciudad Mexico,Mexico,"Mexico City, Ciudad Mexico, Mexico",19.43263,-99.133178
1530,XESD,Silao,Guanajuato,Mexico,"Silao, Guanajuato, Mexico",20.943245,-101.429195
1530,Radio Romania,Nufăru,DX,Romania,"Nufăru, Romania",45.1485,-28.9253
1530,Voice of America,São Tomé and Príncipe,DX,Sao Tome & Principe,"São Tomé and Príncipe, Sao Tome & Principe",0.326412,6.730094
1530,Greatest Hits of All Time,Huddersfield,DX,United Kingdom,"Huddersfield, United Kingdom",53.646664,-1.782248
1539,CHIN,Toronto Island,ON,Canada,"Toronto Island, ON, Canada",43.631263,-79.356793
1539,CNR,Golmud,DX,China,"CNR1, Golmud, China",35.000074,104.999927
1540,ZNS1,Nassau,DX,Bahamas,"Nassau, Bahamas",25.078227,-77.338344
1540,"CP.. - Radio Bendita Trinidad,",El Alto,DX,Bolivia,"Radio Bendita Trinidad, El Alto, Bolivia",-17.05687,-64.991229
1540,Radio Deus e Amor,Rio Preto,DX,Brazil,"Rio Preto, Brazil",-20.812585,-49.380421
1540,XESTN,Monterrey,Nuevo Leon,Mexico,"Monterrey, Mexico",25.686613,-100.316116
1548,Islamic Republick of Iran Broadcasting - R Khavaran,Ferdows,DX,Iran,"Ferdows, Iran",34.018766,58.171768
1548,"Voice of America, Kuwait",Al-Kuwayt-Umm al-Rimam,DX,Kuwait,"Al-Kuwayt-Umm al-Rimam, Kuwait",29.273396,47.497948
1548,Trans World Radio,Grigoriopol,DX,Moldova,"Grigoriopol, Moldova",47.147154,29.293959
1548,Gold,London,DX,United Kingdom,"London, United Kingdom",51.507446,-0.127765
1550,Radio Nacional de la RASD,Rabouni,DX,Algeria,"Rabouni, Algeria",27.476444,-8.089212
1550,National Radio of the Sahrawi Arab Democratic Republic,Tindouf,DX,Algeria,"Tindouf, Algeria",27.672182,-8.140416
1550,Radio Caranavi,Caranavi,DX,Bolivia,"Caranavi, Bolivia",-15.694619,-67.39207
1550,CP115,Caranavi,DX,Bolivia,"Radio Caranavi, Caranavi, Bolivia",-17.05687,-64.991229
1550,CBEF - Radio Caranavi,Windsor,ON,Canada,"Windsor, Canada",42.317432,-83.026772
1550,Radio Rebelde (1550),Santa Clara,DX,Cuba,"Santa Clara, Cuba",22.40694,-79.96472
1550,XEBG,Tijuana,Baja California,Mexico,"Tijuana, Baja California, Mexico",32.53174,-117.019529
1557,Radio Lenta,Kaunas-Sitkunai,DX,Lithuania,"Kaunas-Sitkunai, Lithuania",55.35,23.75
1557,Gold Sport,Hawera,DX,New Zealand,"Hawera, New Zealand",-39.589346,174.283721
1557,Radio Taiwan Int'l,Kouhu,DX,Taiwan,"Kouhu, Taiwan",22.9525,120.465556
1560,CP.. - Radio Luz Del Mundo,La Paz,DX,Bolivia,"Radio Luz Del Mundo, La Paz, Bolivia",-17.05687,-64.991229
1560,HJXZ,Medellín,DX,Colombia,"Santa Maria de la Paz, Medellin, Colombia",4.099917,-72.908813
1560,XEJPV,Ciudad Juarez,Chihuahua,Mexico,"Ciudad Juarez, Mexico",31.69,-106.42
1566,"HLAZ, FEBC Korea",Jeju,DX,South Korea,"Jeju, South Korea",33.488774,126.498708
1570,CJLV,Laval,QC,Canada,"Laval, QC, Canada",45.557113,-73.721178
1570,TGVE,Ciudad de Guatemala,DX,Guatemala,"Ciudad de Guatemala, Guatemala",14.641614,-90.513284
1570,XERF,Ciudad Acuna,Coahuila,Mexico,"Ciudad Acuna, Coahuila, Mexico",29.321434,-100.959501
1575,Voice of America,Ban Phachi,DX,Thailand,"Ban Phachi, Thailand",14.450557,100.720772
1580,CKDO,Oshawa,ON,Canada,"Oshawa, ON, Canada",43.897556,-78.863532
1580,HJQT,Bogotá,DX,Colombia,"Bogota, Colombia",4.653382,-74.083633
1590,XEVOZ,Los Reyes Acaquilpan,Estado de México,Mexico,"Los Reyes Acaquilpan, Estado de México, Mexico",19.35851,-98.976073
1590,XECCBB,San Francisco del Rincon,Guanajuato,Mexico,"San Francisco del Rincon, Guanajuato, Mexico",21.016668,-101.854624
1593,CNR1,Changzhou,DX,China,"Changzhou, China",31.812262,119.969154
1600,XEGEM,Metepec,Estado de México,Mexico,"Metepec, Estado de México, Mexico",19.251134,-99.593728
1602,NHK 2,Onomichi,DX,Japan,"Onomichi, Japan",34.408852,133.205155
1610,CHRN,Montreal,ON,Canada,"Montreal, ON, Canada",45.451066,-75.583861
1610,CHHA,Toronto,DX,Canada,"Toronto, Canada",43.653482,-79.383935
1620,Radio Bayamo (1620),Bayamo,DX,Cuba,"Bayamo, Cuba",20.373414,-76.649424
1620,Radio Rebelde (1620),La Habana,DX,Cuba,"La Habana, Cuba",23.135305,-82.358963
1620,WDHP,Frederiksted,DX,US Virgin Islands,"Frederiksted, US Virgin Islands",17.711866,-64.881307
1630,YSGS,San Salvador,DX,El Salvador,"San Salvador, El Salvador",13.697629,-89.191156
