FREQ,CALL,STATE,CITY,PWR_D,PWR_N,PWR_C,MODE,LAT,LON,STATUS,CALL_HIST,County,FIPS,Format,Network/Slogan,Notes
580,WTCM,MI,TRAVERSE CITY,50000.0,1100.0,,,44.7217,-85.7051,LICEN,,Grand Traverse,26055,NEWS/TALK,FOX WW1 NEWSTALK 580,
580,WELO,MS,TUPELO,770.0,95.0,,,34.2382,-88.6953,LICEN,"WELO, WWPR",Lee,28081,URBAN CONTEMP/AC,PULSE 104.3,//W282AS 104.3
580,WKSK,NC,WEST JEFFERSON,5000.0,34.0,,,36.4109,-81.4959,LICEN,,Ashe,37009,C&W,AP THE FARM,//W228CW 93.5
580,KTMT,OR,ASHLAND,1000.0,1000.0,,,42.164,-122.6489,LICEN,"KCMX, KTMT, KGAY",Jackson,41029,SPORTS,W1S THE GAME,EX-KTMT/KGAY //K241CA 96.1
580,WHP,PA,HARRISBURG,5000.0,5000.0,,,40.3031,-76.9516,LICEN,,Dauphin,42043,NEWS/TALK,FOX NEWSRADIO 580,//W279EC 103.7
580,WKAQ,PR,SAN JUAN,10000.0,10000.0,,,18.4302,-66.1355,LICEN,,San Juan,72127,SPANISH NEWS/TALK,580 WKAQ,
580,KZMX,SD,HOT SPRINGS,2300.0,310.0,,,43.4566,-103.4766,LICEN,KOBH,Fall River,46047,CLASSIC ROCK,ABC WW1 THE MIX 96.7,//FM 96.7
580,WXRH,TN,ROCKWOOD,5000.0,49.0,,,35.8279,-84.6552,LICEN,"WOFE, WYHM",Roane,47145,CL. C&W,93.3 THE RANCH,EX-WOFE/WYHM //W227EB 93.3
580,KRFE,TX,LUBBOCK,500.0,290.0,,,33.5334,-101.821,LICEN,"KRLB, KJBX",Lubbock,48303,TALK,FOX STN THAT LISTENS,EX-KRLB/KJBX //K240FA 95.9
580,WLVA,VA,LYNCHBURG,250.0,14.0,,,37.421,-79.115,LICEN,,Amherst,51009,TALK/SPORTS,SRN FOX 94.1 & 100.5,//W231CE 94.1
580,WKTY,WI,LA CROSSE,5000.0,740.0,,,43.7402,-91.206,LICEN,,La Crosse,55063,SPORTS,W1S SPORTS RADIO,//K244FM 96.7
580,WCHS,WV,CHARLESTON,5000.0,5000.0,,,38.3643,-81.7679,LICEN,,Kanawha,54039,TALK,ABC PROUD TO LIVE HERE,//W243DR 96.5
590,KHAR,AK,ANCHORAGE,5000.0,5000.0,,,61.1194,-149.8975,LICEN,,Anchorage,2020,ADLT STNDS,GOLD RUSH RADIO,//K244EG 96.7
590,KTIE,CA,SAN BERNARDINO,2500.0,960.0,,,34.0722,-117.2987,LICEN,"KRSO, KHTX, KSZZ, KRLH",San Bernardino,6071,TALK,SRN THE ANSWER,EX-KRSO/KHTX/KSZZ/KRLH
590,KCSJ,CO,PUEBLO,1000.0,1000.0,,,38.3583,-104.6375,LICEN,,Pueblo,8101,NEWS/TALK,FOX NEWRADIO,
590,WAFC,FL,CLEWISTON,930.0,470.0,,,26.7298,-80.9134,LICEN,,Hendry,12051,C&W,WW1 PURE COUNTRY,//W223AJ 92.5
590,WDWD,GA,ATLANTA,12000.0,4500.0,,,33.8454,-84.6444,LICEN,"WPLO, WKHX",DeKalb,13089,RELIGION,FAITH TALK 590,EX-WKHX
590,KSSK,HI,HONOLULU,7800.0,7800.0,,,21.3208,-157.8728,LICEN,KGMB,Honolulu,15003,AC/OLDIES,,//FM 92.3
590,WVLK,KY,LEXINGTON,5000.0,1000.0,,,38.1118,-84.5774,LICEN,,Fayette,21067,NEWS/TALK,FOX WW1 NEWSTALK 590,//W247CT 97.3
590,WEZE,MA,BOSTON,5000.0,5000.0,,,42.4068,-71.0867,LICEN,"WEEI, WBNW",Norfolk,25021,RELIGION,SRN THE WORD,EX-WEEI/WBNW
590,WJMS,MI,IRONWOOD,5000.0,113.0,,,46.4244,-90.2093,LICEN,,Iron,55051,C&W,AP REAL COUNTRY US59,//W221EH 92.1
590,WKZO,MI,KALAMAZOO,5000.0,5000.0,,,42.3486,-85.5633,LICEN,,Kalamazoo,26077,NEWS/TALK,FOX WW1 NEWSRADIO 590,//W295CL 106.9
590,KGLE,MT,GLENDIVE,1000.0,111.0,,,47.0972,-104.7864,LICEN,,Dawson,30021,RELIGION,YOUR NETWORK OF PRAISE,
590,WCAB,NC,RUTHERFORDTON,1000.0,228.0,,,35.3932,-81.9229,LICEN,,Rutherford,37161,C&W,SRN PURE COUNTRY,//W265DW 100.9
590,WOW,NE,OMAHA,4700.0,4700.0,,,41.3131,-96.0103,LICEN,"WOW, KOMJ, KXSP",Douglas,31055,SPORTS,ESPN,EX-WOW/KOMJ/KXSP
590,WOW,NE,OMAHA,5000.0,5000.0,,,41.3153,-95.9981,LICEN,"WOW, KOMJ, KXSP",Douglas,31055,SPORTS,ESPN,EX-WOW/KOMJ/KXSP
590,WROW,NY,ALBANY,5000.0,1000.0,,,42.5737,-73.7862,LICEN,,Albany,36001,AC/OLDIES,MAGIC 590-1410,"//W263CG 100.5, WENU-1410"
590,KUGN,OR,EUGENE,5000.0,5000.0,,,44.1007,-123.0529,LICEN,,Lane,41039,NEWS/TALK,ABC WW1 NEWSTALK 590,//K251CY 98.1
590,WARM,PA,SCRANTON,1800.0,430.0,,,41.4776,-75.8755,LICSL,,Lackawanna,42069,SILENT,ABC GEM 99 & 100,//W269CF 101.7
590,WMBS,PA,UNIONTOWN,1000.0,1000.0,,,39.8598,-79.7453,LICEN,,Fayette,42051,ADLT STNDS/TALK,FOX YOUR LOCAL STATION,//W266DB 101.1
590,WWLX,TN,LORETTO,600.0,133.0,,,35.2034,-87.3275,LICEN,,Lawrence,47099,CLASSIC ROCK,FOX CLASSIC HITS WLX,"//W226AF 93.1, W291DG 106.1"
590,KLBJ,TX,AUSTIN,5000.0,1000.0,,,30.238,-97.63,LICEN,,Travis,48453,NEWS/TALK,FOX WW1 NEWSRADIO 590,//K259AJ 99.7
590,KSUB,UT,CEDAR CITY,5000.0,138.0,,,37.6975,-113.1818,LICEN,,Iron,49021,TALK,FOX TALKRADIO 590,//K297CG 107.3
590,WLES,VA,BON AIR,1000.0,58.0,,,37.5146,-77.5075,LICEN,,Richmond,51760,RELIGION,SRN THE TRUTH RICHMOND,FROM 580 //W249CI 97.7
590,KQNT,WA,SPOKANE,5000.0,5000.0,,,47.6152,-117.2502,LICEN,"KHQ, KLSN, KAQQ",Spokane,53063,NEWS/TALK,FOX NEWSRADIO,EX-KAQQ
600,KVNA,AZ,FLAGSTAFF,1000.0,70.0,,,35.1906,-111.6777,LICEN,"KEOS, KZKZ",Coconino,4005,SPORTS,ESPN,//K284BO 104.7
600,KOGO,CA,SAN DIEGO,9000.0,10000.0,,,32.8426,-117.0259,LICEN,"KLZZ, KKLQ",San Diego,6073,TALK,FOX NEWSRADIO 600,EX-KKLQ
600,KCOL,CO,WELLINGTON,5000.0,500.0,,,40.65,-105.048,LICEN,KIIX,Larimer,8069,NEWS/TALK,FOX NEWSRADIO 600,EX-KIIX
600,WICC,CT,BRIDGEPORT,1000.0,500.0,,,41.1601,-73.1643,LICEN,,Fairfield,9001,NEWS/TALK,ABC VOICE OF CT,//W297CP 107.3
600,WBOB,FL,JACKSONVILLE,1000.0,90.0,,,30.2761,-81.6365,LICEN,"WOKV, WPDQ, WBWL",Duval,12031,TALK,FOX SRN AM 600 WBOB,EX-WPDQ/WBWL //W266CX 101.1
600,WBOB,FL,JACKSONVILLE,50000.0,9700.0,,,30.3002,-81.7593,LICEN,"WOKV, WPDQ, WBWL",Duval,12031,TALK,FOX SRN AM 600 WBOB,EX-WPDQ/WBWL //W266CX 101.1
600,WMT,IA,CEDAR RAPIDS,5000.0,5000.0,,,42.0611,-91.5452,LICEN,,Linn,19113,NEWS/TALK,FOX BNN NEWSRADIO 600,
600,WKYH,KY,PAINTSVILLE,5000.0,43.0,,,37.7892,-82.7843,LICEN,WKLW,Johnson,21115,CLASSIC ROCK,FOX CLASSIC HITS 99.3,EX-WKLW //W257EE 99.3
600,WVOG,LA,NEW ORLEANS,1000.0,31.0,,,29.9571,-90.1592,LICEN,,Orleans,22071,RELIGION,SRN GOSPEL 600,//W300DP 107.9
600,WCAO,MD,BALTIMORE,5000.0,5000.0,,,39.4298,-76.7614,LICEN,,Baltimore,24510,BLK GSPL,HEAVEN 600,
600,WFST,ME,CARIBOU,5000.0,127.0,,,46.8867,-68.045,LICEN,,Aroostook,23003,RELIGION,SRN FAMILY RADIO,
600,WCHT,MI,ESCANABA,570.0,134.0,,,45.8052,-87.1704,LICEN,WBDN,Delta,26041,TALK/SPORTS,FSR FOX NEWSTALK 600,//W228DQ 93.5
600,WSNL,MI,FLINT,440.0,250.0,,,42.9075,-83.8352,LICEN,WTAC,Genesee,26049,RELIGION,SRN CHRISTIAN TALK,EX-WTAC //W293CA 106.5
600,KGEZ,MT,KALISPELL,5000.0,1000.0,,,48.1611,-114.2818,LICEN,,Flathead,30029,OLDIES/ADLT STNDS,WW1 FULL SERVICE RADIO,//K243CM 96.5
