callsign,frequency,site,state,county_state,latitude,longitude,county,county_label,county_geoid
WXM99,162.425,Bemidji,MN,MN,47.555833,-94.801361,Beltrami,Beltrami County,27007
WXN21,162.400,Sky Meadows,WA,WA,47.137333,-120.869667,Kittitas,Kittitas County,53037
WXN24,162.425,Artesia,NM,NM,32.800611,-104.198654,Eddy,Eddy County,35015
WXN28,162.500,Lakeville,ME,ME,45.344444,-68.095,Penobscot,Penobscot County,23019
WXN29,162.425,Call Hill,NY,NY,42.211111,-77.689444,Steuben,Steuben County,36101
WXN55,162.450,Bath,NY,NY,42.355556,-77.266111,Steuben,Steuben County,36101
WXN59,162.500,Ithaca,NY,NY,42.418611,-76.493889,Tompkins,Tompkins County,36109
WXN61,162.500,Sidney,NE,NE,41.184167,-103.193611,Cheyenne,Cheyenne County,31033
WXN68,162.475,Miser Hill,NY,NY,43.961225,-75.8078,Jefferson,Jefferson County,36045
WXN69,162.425,Sister Bay,MI,WI,45.237887,-87.091394,Door,Door County,55029
WXN72,162.500,Broken Bow,NE,NE,41.387222,-99.820833,Custer,Custer County,31041
WXN74,162.500,Hickman,TN,TN,36.1447,-85.9111,Smith,Smith County,47159
WXN81,162.450,Ulysses,KS,KS,37.505115,-101.470286,Grant,Grant County,20067
WXN82,162.450,Valentine,NE,NE,42.888611,-100.553333,Cherry,Cherry County,31031
WXN83,162.525,Burlington,IA,IA,40.833889,-91.212778,Des Moines,Des Moines County,19057
WXN85,162.400,Fairfield,IA,IA,41.089289,-91.968285,Jefferson,Jefferson County,19101
WXN87,162.500,Natchitoches,LA,LA,31.787,-93.205,Natchitoches,Natchitoches Parish,22069
WXN88,162.525,Belden (AG),ND,ND,48.071667,-102.44,Mountrail,Mountrail County,38061
WXN89,162.475,Novice,TX,TX,32.033611,-99.420556,Coleman,Coleman County,48083
WXN91,162.425,Lake Rathbun,IA,IA,40.81925,-92.904,Appanoose,Appanoose County,19007
WXN92,162.525,Harrison,AR,AR,36.1692,-93.2497,Boone,Boone County,05009
WXN99,162.425,West Olive,MI,MI,42.941389,-86.084167,Ottawa,Ottawa County,26139
WZ2500,162.450,Wythe County,NC,VA,36.9075,-81.06805,Wythe,Wythe County,51197
WZ2502,162.425,Bennett Road,WA,WA,46.535278,-121.768861,Lewis,Lewis County,53041
WZ2503,162.525,Guadalupe Peak,TX,TX,31.890043,-104.811221,Culberson,Culberson County,48109
WZ2504,162.475,Sonoma County,CA,CA,38.348333,-122.578056,Sonoma,Sonoma County,06097
WZ2505,162.425,Sandberg,CA,CA,34.743611,-118.724917,Los Angeles,Los Angeles County,06037
WZ2506,162.500,Cypress Inn (AG),AL,TN,35.2736,-87.9322,Wayne,Wayne County,47181
WZ2507,162.500,Dickens County,TX,TX,33.654139,-100.846194,Dickens,Dickens County,48125
WZ2509,162.525,Winchester Hill,OR,OR,43.656875,-124.187375,Douglas,Douglas County,41019
WZ2511,162.400,Sharon,KS,KS,37.37059,-98.40278,Barber,Barber County,20007
WZ2512,162.525,Mound City,KS,KS,38.302944,-94.959806,Linn,Linn County,20107
WZ2513,162.500,Copper Harbor,MI,MI,47.4675,-87.8722,Keweenaw,Keweenaw County,26083
WZ2514,162.475,Alger County,MI,MI,46.420833,-86.675,Alger,Alger County,26003
WZ2515,162.425,Grand Marais,MI,MI,46.5475,-86.0364,Alger,Alger County,26003
WZ2516,162.425,Jack's Peak,NM,NM,32.581944,-108.425306,Grant,Grant County,35017
WZ2518,162.450,Eagle,CO,CO,39.775,-106.846389,Eagle,Eagle County,08037
WZ2519,162.400,Brock Mtn,NV,NV,38.051944,-117.225556,Nye,Nye County,32023
WZ2520,162.450,Bald Mtn,ID,ID,43.661389,-114.403056,Blaine,Blaine County,16013
WZ2521,162.425,Battle Mtn.,NV,NV,40.4036,-116.8681,Lander,Lander County,32015
WZ2522,162.475,Carney Butte,OR,OR,45.281186,-118.94966,Umatilla,Umatilla County,41059
WZ2523,162.500,Frankfort,KY,KY,38.207276,-84.836243,Franklin,Franklin County,21073
WZ2524,162.425,Bishop,CA,CA,37.3708,-118.3672,Inyo,Inyo County,06027
WZ2527,162.425,Fredericksburg,MD,VA,38.311389,-77.483611,Fredericksburg,Fredericksburg city,51630
WZ2528,162.500,Wibaux,MT,MT,46.9919,-104.2683,Wibaux,Wibaux County,30109
WZ2529,162.550,Mt. Olotele,AS,AS,-14.317067,-170.76402,Western,Western District,60050
WZ2530,162.500,Shaffer Mtn,CA,CA,40.446389,-120.358056,Lassen,Lassen County,06035
WZ2531,162.500,Hialeah,FL,FL,25.8397,-80.2925,Miami-Dade,Miami-Dade County,12086
WZ2533,162.475,Carter County,MT,MT,45.512222,-104.48,Carter,Carter County,30011
WZ2535,162.500,Norton Knob,ID,ID,46.5086,-116.2167,Clearwater,Clearwater County,16035
WZ2536,162.475,Lyons,NY,NY,43.0658,-77.0361,Wayne,Wayne County,36117
WZ2540,162.500,Kamuela,HI,HI,20.125361,-155.7778,Hawaii,Hawaii County,15001
WZ2541,162.475,Pharr,TX,TX,26.1861,-98.1886,Hidalgo,Hidalgo County,48215
WZ2542,162.450,Santa Maria,TX,TX,26.0814,-97.8283,Cameron,Cameron County,48061
WZ2543,162.425,Steeleburg,VA,VA,37.0683,-81.7706,Tazewell,Tazewell County,51185
WZ2544,162.500,Granby,CO,CO,40.060274,-105.990851,Grand,Grand County,08049
WZ2545,162.550,Joplin,MO,MO,37.085,-94.5133,Jasper,Jasper County,29097
WZ2546,162.525,Magee,MS,MS,31.8742,-89.7319,Simpson,Simpson County,28127
WZ2547,162.450,Metcalfe Co.,KY,KY,37.0103,-85.6036,Metcalfe,Metcalfe County,21169
WZ2548,162.550,Eldon,MO,MO,38.2794,-92.5853,Miller,Miller County,29131
WZ2550,162.450,Willow Creek,CA,CA,40.8739,-123.73351,Humboldt,Humboldt County,06023
WZ2555,162.525,Duffield Peninsula,AK,AK,57.5228,-135.4617,Sitka,Sitka City and Borough,02220
WZ2556,162.525,Kodiak Island,AK,AK,57.3728,-154.6264,Kodiak Island,Kodiak Island Borough,02150
WZ2557,162.450,Lihue,HI,HI,21.987257,-159.338519,Kauai,Kauai County,15007
WZ2559,162.425,Enterprise,OR,OR,45.42636,-117.29603,Wallowa,Wallowa County,41063
WZ2560,162.550,Cannonsburg,MI,MI,43.0138,-85.4778,Kent,Kent County,26081
WZ2561,162.450,Charlotte Amalie,VI,VI,18.3283,-64.8592,St. Thomas,St. Thomas Island,78030
WZ2572,162.475,Fort Bend County,TX,TX,29.5817,-95.7606,Fort Bend,Fort Bend County,48157
